path,scan_root,depth,size_bytes,size_human,category,risk
C:\Program Files\Cisco Packet Tracer 8.2.2\plugins,C:\Program Files,2,11760128,11.22 MB,directory,manual_review
C:\Program Files (x86)\Steam\logs,C:\Program Files (x86),2,11495583,10.96 MB,directory,manual_review
C:\Program Files (x86)\InstallShield Installation Information\{6468C4A5-E47E-405F-B675-A70A70983EA6},C:\Program Files (x86),2,10977576,10.47 MB,directory,manual_review
C:\Program Files (x86)\InstallShield Installation Information,C:\Program Files (x86),1,10977576,10.47 MB,directory,manual_review
C:\Program Files\Common Files\System,C:\Program Files,2,10784139,10.28 MB,directory,manual_review
C:\Program Files (x86)\Common Files\System,C:\Program Files (x86),2,10022283,9.56 MB,directory,manual_review
C:\Program Files (x86)\HP\Shared,C:\Program Files (x86),2,9823080,9.37 MB,directory,manual_review
C:\Program Files (x86)\Steam\controller_base,C:\Program Files (x86),2,9808333,9.35 MB,directory,manual_review
C:\Program Files\Microsoft Office 15\ClientX64,C:\Program Files,2,9317120,8.89 MB,directory,manual_review
C:\Program Files\Microsoft Office 15,C:\Program Files,1,9317120,8.89 MB,directory,manual_review
C:\Program Files\CMake\share,C:\Program Files,2,9246073,8.82 MB,directory,manual_review
C:\Program Files (x86)\Steam\graphics,C:\Program Files (x86),2,8977619,8.56 MB,directory,manual_review
C:\Program Files\WinRAR,C:\Program Files,1,8778792,8.37 MB,directory,manual_review
C:\Program Files (x86)\Google\Update,C:\Program Files (x86),2,8728216,8.32 MB,directory,manual_review
C:\Program Files\WSL\lib,C:\Program Files,2,8624232,8.22 MB,directory,manual_review
C:\Program Files (x86)\NVIDIA Corporation\NVIDIA App,C:\Program Files (x86),2,8598843,8.20 MB,directory,manual_review
C:\Program Files (x86)\Steam\resource,C:\Program Files (x86),2,8550073,8.15 MB,directory,manual_review
C:\Program Files (x86)\Microsoft.NET\Primary Interop Assemblies,C:\Program Files (x86),2,8272120,7.89 MB,directory,manual_review
C:\Program Files (x86)\Microsoft SQL Server\160,C:\Program Files (x86),2,8153444,7.78 MB,directory,manual_review
C:\Program Files\Microsoft Office\PackageManifests,C:\Program Files,2,7660478,7.31 MB,directory,manual_review
C:\Program Files\HP\OMEN Gaming Hub,C:\Program Files,2,6897248,6.58 MB,directory,manual_review
C:\Program Files (x86)\Steam\tenfoot,C:\Program Files (x86),2,6775908,6.46 MB,directory,manual_review
C:\Program Files\Cisco Packet Tracer 8.2.2\languages,C:\Program Files,2,6440079,6.14 MB,directory,manual_review
C:\Program Files\Windows Photo Viewer,C:\Program Files,1,5886504,5.61 MB,directory,manual_review
C:\Program Files\7-Zip,C:\Program Files,1,5835685,5.57 MB,directory,manual_review
C:\Program Files (x86)\Windows Photo Viewer,C:\Program Files (x86),1,5539368,5.28 MB,directory,manual_review
C:\Program Files (x86)\Windows Defender,C:\Program Files (x86),1,5448024,5.20 MB,directory,manual_review
C:\Program Files\HP\HP System Event Utility,C:\Program Files,2,5408328,5.16 MB,directory,manual_review
C:\Program Files (x86)\Microsoft.NET\ADOMD.NET,C:\Program Files (x86),2,5308784,5.06 MB,directory,manual_review
C:\Program Files\Microsoft.NET\ADOMD.NET,C:\Program Files,2,5308768,5.06 MB,directory,manual_review
C:\Program Files\Microsoft.NET,C:\Program Files,1,5308768,5.06 MB,directory,manual_review
C:\Program Files\Microsoft OneDrive\setup,C:\Program Files,2,5278868,5.03 MB,directory,manual_review
